id,RevisionId,AllocationId,TradeTypeName,SecurityId,SecurityType,Name,Ticker,CUSIP,ISIN,TradeDate,SettleDate,Quantity,Price,TradeFXRate,Principal,Interest,TotalCash,AllocationQTY,AllocationPrincipal,AllocationInterest,AllocationFees,AllocationCash,PortfolioName,CustodianName,StrategyName,Strategy1Name,Strategy2Name,Counterparty,AllocationRule,IsCustomAllocation,Year
12,1,ALLOC00011,Sell,SECID0011,Real Estate Debt,Skyline Tower,TKR011,CUSIP00011,ISIN000011,2025-11-01,2025-11-03,19398.43,331.52,1.0902,6430967.51,162.46,6430982.32,19398.43,6430967.51,162.46,147.65,6430982.32,Cedar Income Partners,BNY Mellon,Core Plus,Core Plus,Mixed Use,Goldman Sachs,Custom,False,2025
13,1,ALLOC00012,Sell,SECID0012,REIT Equity,Riverside Logistics Park,TKR012,CUSIP00012,ISIN000012,2023-04-25,2023-04-27,1874.85,427.65,0.9326,801779.6,389.75,802108.79,1874.85,801779.6,389.75,60.56,802108.79,Delta Urban Holdings,BNY Mellon,Value Add,Opportunistic,Industrial,Goldman Sachs,Custom,True,2023
14,1,ALLOC00013,Sell,SECID0013,Mortgage Bond,Granite Business Center,TKR013,CUSIP00013,ISIN000013,2024-08-13,2024-08-15,5442.74,304.17,0.918,1655518.23,211.27,1655652.69,5442.74,1655518.23,211.27,76.81,1655652.69,Alpha Real Estate Fund,State Street,Value Add,Core,Commercial,Morgan Stanley,Custom,True,2024
15,1,ALLOC00014,Sell,SECID0014,Mortgage Bond,Riverside Logistics Park,TKR014,CUSIP00014,ISIN000014,2024-08-14,2024-08-15,18153.43,244.03,0.9297,4429981.52,63.89,4429864.34,18153.43,4429981.52,63.89,181.07,4429864.34,Evergreen REIT Fund,State Street,Core Plus,Core Plus,Residential,Citi,Custom,False,2024
16,1,ALLOC00015,Buy,SECID0015,Mortgage Bond,Maple Grove Apartments,TKR015,CUSIP00015,ISIN000015,2023-08-22,2023-08-25,11412.72,134.16,0.951,1531130.52,40.88,1531068.23,11412.72,1531130.52,40.88,103.17,1531068.23,Beacon Property Trust,BNY Mellon,Core Plus,Core Plus,Mixed Use,JPMorgan,Custom,False,2023
17,1,ALLOC00016,Short,SECID0016,REIT Equity,Granite Business Center,TKR016,CUSIP00016,ISIN000016,2025-08-20,2025-08-22,6892.55,459.87,1.062,3169676.97,105.53,3169762.25,6892.55,3169676.97,105.53,20.25,3169762.25,Evergreen REIT Fund,State Street,Core Plus,Core,Residential,Goldman Sachs,Pro-Rata,False,2025
18,1,ALLOC00017,Short,SECID0017,Mortgage Bond,Riverside Logistics Park,TKR017,CUSIP00017,ISIN000017,2024-12-13,2024-12-16,19319.5,304.92,0.9973,5890901.94,309.25,5891016.28,19319.5,5890901.94,309.25,194.91,5891016.28,Alpha Real Estate Fund,State Street,Opportunistic,Core Plus,Commercial,Goldman Sachs,Pro-Rata,True,2024
19,1,ALLOC00018,Buy,SECID0018,Property Direct,Lakeside Retail Center,TKR018,CUSIP00018,ISIN000018,2023-04-16,2023-04-19,2988.57,128.47,1.0684,383941.59,429.09,384260.66,2988.57,383941.59,429.09,110.02,384260.66,Beacon Property Trust,BNY Mellon,Core,Core Plus,Residential,Morgan Stanley,Pro-Rata,False,2023
20,1,ALLOC00019,Buy,SECID0019,REIT Equity,Granite Business Center,TKR019,CUSIP00019,ISIN000019,2024-08-01,2024-08-03,11746.0,108.66,1.0139,1276320.36,416.92,1276722.35,11746.0,1276320.36,416.92,14.93,1276722.35,Delta Urban Holdings,BNY Mellon,Value Add,Core Plus,Mixed Use,Barclays,Custom,False,2024
21,1,ALLOC00020,Cover,SECID0020,REIT Equity,Lakeside Retail Center,TKR020,CUSIP00020,ISIN000020,2023-12-02,2023-12-05,478.49,292.44,1.0107,139929.62,133.92,139932.12,478.49,139929.62,133.92,131.42,139932.12,Evergreen REIT Fund,Northern Trust,Value Add,Core,Mixed Use,Goldman Sachs,Pro-Rata,False,2023
22,1,ALLOC00021,Cover,SECID0021,Real Estate Debt,Riverside Logistics Park,TKR021,CUSIP00021,ISIN000021,2025-04-16,2025-04-18,8818.4,258.74,1.0175,2281672.82,342.49,2281830.57,8818.4,2281672.82,342.49,184.74,2281830.57,Delta Urban Holdings,BNY Mellon,Value Add,Core,Commercial,Citi,Pro-Rata,False,2025
23,1,ALLOC00022,Cover,SECID0022,Property Direct,Union Square Offices,TKR022,CUSIP00022,ISIN000022,2025-12-03,2025-12-06,9709.51,94.91,0.9313,921529.59,246.09,921615.95,9709.51,921529.59,246.09,159.73,921615.95,Beacon Property Trust,Northern Trust,Core Plus,Core Plus,Industrial,JPMorgan,Custom,True,2025
24,1,ALLOC00023,Short,SECID0023,Property Direct,Skyline Tower,TKR023,CUSIP00023,ISIN000023,2023-09-02,2023-09-03,6820.92,65.84,0.9453,449089.37,280.99,449270.52,6820.92,449089.37,280.99,99.84,449270.52,Evergreen REIT Fund,BNY Mellon,Opportunistic,Core Plus,Residential,Barclays,Custom,True,2023
25,1,ALLOC00024,Short,SECID0024,Real Estate Debt,Riverside Logistics Park,TKR024,CUSIP00024,ISIN000024,2023-10-20,2023-10-21,16489.84,30.57,0.9211,504094.41,314.96,504234.55,16489.84,504094.41,314.96,174.82,504234.55,Delta Urban Holdings,Northern Trust,Core,Core Plus,Commercial,JPMorgan,Custom,True,2023
26,1,ALLOC00025,Sell,SECID0025,REIT Equity,Riverside Logistics Park,TKR025,CUSIP00025,ISIN000025,2023-04-15,2023-04-17,15407.46,13.23,1.067,203840.7,236.83,204016.61,15407.46,203840.7,236.83,60.92,204016.61,Cedar Income Partners,Northern Trust,Core,Value Add,Commercial,Morgan Stanley,Equal Weight,False,2023
27,1,ALLOC00026,Short,SECID0026,REIT Equity,Lakeside Retail Center,TKR026,CUSIP00026,ISIN000026,2023-03-26,2023-03-28,8326.85,210.56,0.9918,1753301.54,426.2,1753567.79,8326.85,1753301.54,426.2,159.95,1753567.79,Beacon Property Trust,State Street,Core Plus,Core Plus,Industrial,JPMorgan,Custom,True,2023
28,1,ALLOC00027,Short,SECID0027,Mortgage Bond,Granite Business Center,TKR027,CUSIP00027,ISIN000027,2024-01-13,2024-01-14,13237.51,324.32,1.0805,4293189.24,28.9,4293089.98,13237.51,4293189.24,28.9,128.16,4293089.98,Evergreen REIT Fund,BNY Mellon,Value Add,Value Add,Residential,JPMorgan,Equal Weight,True,2024
29,1,ALLOC00028,Cover,SECID0028,Real Estate Debt,Riverside Logistics Park,TKR028,CUSIP00028,ISIN000028,2025-07-15,2025-07-18,4182.16,276.77,1.0577,1157496.42,326.02,1157681.43,4182.16,1157496.42,326.02,141.01,1157681.43,Alpha Real Estate Fund,State Street,Value Add,Core,Commercial,Citi,Equal Weight,False,2025
30,1,ALLOC00029,Short,SECID0029,Real Estate Debt,Riverside Logistics Park,TKR029,CUSIP00029,ISIN000029,2023-02-17,2023-02-20,6313.82,176.95,1.0271,1117230.45,11.71,1117063.55,6313.82,1117230.45,11.71,178.61,1117063.55,Delta Urban Holdings,Northern Trust,Core Plus,Core Plus,Industrial,JPMorgan,Equal Weight,False,2023
31,1,ALLOC00030,Sell,SECID0030,Real Estate Debt,Cedar Heights Residences,TKR030,CUSIP00030,ISIN000030,2023-01-25,2023-01-28,18832.73,229.88,1.0145,4329267.97,2.61,4329199.48,18832.73,4329267.97,2.61,71.1,4329199.48,Cedar Income Partners,BNY Mellon,Opportunistic,Core,Commercial,Goldman Sachs,Custom,True,2023
32,1,ALLOC00031,Cover,SECID0031,Real Estate Debt,Lakeside Retail Center,TKR031,CUSIP00031,ISIN000031,2024-08-04,2024-08-05,14261.64,415.93,0.9164,5931843.93,31.1,5931696.77,14261.64,5931843.93,31.1,178.26,5931696.77,Alpha Real Estate Fund,BNY Mellon,Core,Core,Industrial,Citi,Custom,False,2024
33,1,ALLOC00032,Sell,SECID0032,REIT Equity,Union Square Offices,TKR032,CUSIP00032,ISIN000032,2024-12-16,2024-12-19,19468.12,413.67,0.9289,8053377.2,63.56,8053297.09,19468.12,8053377.2,63.56,143.67,8053297.09,Delta Urban Holdings,BNY Mellon,Core Plus,Opportunistic,Industrial,Goldman Sachs,Equal Weight,False,2024
34,1,ALLOC00033,Short,SECID0033,Mortgage Bond,Skyline Tower,TKR033,CUSIP00033,ISIN000033,2023-02-12,2023-02-15,5862.85,266.16,0.9235,1560456.16,152.46,1560530.6,5862.85,1560456.16,152.46,78.02,1560530.6,Beacon Property Trust,State Street,Core,Core Plus,Industrial,JPMorgan,Pro-Rata,True,2023
35,1,ALLOC00034,Cover,SECID0034,Property Direct,Granite Business Center,TKR034,CUSIP00034,ISIN000034,2025-08-01,2025-08-02,10995.99,43.11,0.9089,474037.13,240.59,474212.33,10995.99,474037.13,240.59,65.39,474212.33,Delta Urban Holdings,Northern Trust,Opportunistic,Opportunistic,Mixed Use,Barclays,Equal Weight,False,2025
36,1,ALLOC00035,Buy,SECID0035,Mortgage Bond,Riverside Logistics Park,TKR035,CUSIP00035,ISIN000035,2023-12-11,2023-12-12,16016.25,335.61,0.9819,5375213.66,116.41,5375247.97,16016.25,5375213.66,116.41,82.1,5375247.97,Alpha Real Estate Fund,State Street,Core Plus,Value Add,Residential,Citi,Pro-Rata,True,2023
37,1,ALLOC00036,Sell,SECID0036,REIT Equity,Riverside Logistics Park,TKR036,CUSIP00036,ISIN000036,2025-09-19,2025-09-20,19150.13,265.66,1.0501,5087423.54,251.32,5087666.22,19150.13,5087423.54,251.32,8.64,5087666.22,Beacon Property Trust,State Street,Core,Core Plus,Industrial,Barclays,Equal Weight,True,2025
38,1,ALLOC00037,Buy,SECID0037,Real Estate Debt,Riverside Logistics Park,TKR037,CUSIP00037,ISIN000037,2024-01-11,2024-01-13,3692.11,21.79,1.0056,80451.08,191.01,80619.34,3692.11,80451.08,191.01,22.75,80619.34,Beacon Property Trust,State Street,Value Add,Core Plus,Commercial,JPMorgan,Custom,True,2024
39,1,ALLOC00038,Short,SECID0038,Property Direct,Granite Business Center,TKR038,CUSIP00038,ISIN000038,2023-10-11,2023-10-12,640.71,38.67,0.978,24776.26,160.02,24850.78,640.71,24776.26,160.02,85.5,24850.78,Alpha Real Estate Fund,State Street,Opportunistic,Opportunistic,Commercial,Barclays,Equal Weight,False,2023
40,1,ALLOC00039,Buy,SECID0039,Property Direct,Harbor Plaza,TKR039,CUSIP00039,ISIN000039,2023-05-02,2023-05-04,9349.99,209.47,0.9968,1958542.41,203.75,1958695.58,9349.99,1958542.41,203.75,50.58,1958695.58,Beacon Property Trust,Northern Trust,Opportunistic,Value Add,Mixed Use,Barclays,Pro-Rata,True,2023
41,1,ALLOC00040,Buy,SECID0040,Mortgage Bond,Riverside Logistics Park,TKR040,CUSIP00040,ISIN000040,2023-06-18,2023-06-19,15662.27,273.39,0.9848,4281908.0,455.75,4282270.66,15662.27,4281908.0,455.75,93.09,4282270.66,Beacon Property Trust,State Street,Core Plus,Core,Industrial,Citi,Custom,False,2023
42,1,ALLOC00041,Buy,SECID0041,Mortgage Bond,Harbor Plaza,TKR041,CUSIP00041,ISIN000041,2024-11-07,2024-11-10,16829.62,147.84,0.9323,2488091.02,267.04,2488339.42,16829.62,2488091.02,267.04,18.64,2488339.42,Beacon Property Trust,Northern Trust,Value Add,Core,Commercial,Citi,Equal Weight,False,2024
43,1,ALLOC00042,Sell,SECID0042,Mortgage Bond,Cedar Heights Residences,TKR042,CUSIP00042,ISIN000042,2025-06-21,2025-06-23,19594.84,356.8,0.9546,6991438.91,331.14,6991702.33,19594.84,6991438.91,331.14,67.72,6991702.33,Alpha Real Estate Fund,Northern Trust,Opportunistic,Core Plus,Mixed Use,Goldman Sachs,Pro-Rata,True,2025
44,1,ALLOC00043,Buy,SECID0043,Mortgage Bond,Harbor Plaza,TKR043,CUSIP00043,ISIN000043,2024-09-23,2024-09-26,9830.64,202.47,0.9162,1990409.68,438.36,1990716.04,9830.64,1990409.68,438.36,132.0,1990716.04,Cedar Income Partners,BNY Mellon,Value Add,Core,Commercial,Goldman Sachs,Pro-Rata,False,2024
45,1,ALLOC00044,Buy,SECID0044,Property Direct,Union Square Offices,TKR044,CUSIP00044,ISIN000044,2024-04-15,2024-04-16,4508.26,19.69,0.9562,88767.64,460.7,89153.56,4508.26,88767.64,460.7,74.78,89153.56,Beacon Property Trust,BNY Mellon,Value Add,Core Plus,Industrial,Barclays,Equal Weight,True,2024
46,1,ALLOC00045,Sell,SECID0045,REIT Equity,Maple Grove Apartments,TKR045,CUSIP00045,ISIN000045,2023-04-27,2023-04-30,7982.11,436.26,1.0138,3482275.31,247.01,3482409.72,7982.11,3482275.31,247.01,112.6,3482409.72,Alpha Real Estate Fund,State Street,Value Add,Opportunistic,Industrial,Morgan Stanley,Equal Weight,True,2023
47,1,ALLOC00046,Buy,SECID0046,Property Direct,Granite Business Center,TKR046,CUSIP00046,ISIN000046,2025-11-18,2025-11-21,5133.13,284.46,0.9908,1460170.16,468.95,1460509.12,5133.13,1460170.16,468.95,129.99,1460509.12,Delta Urban Holdings,BNY Mellon,Core Plus,Core,Mixed Use,JPMorgan,Equal Weight,True,2025
48,1,ALLOC00047,Buy,SECID0047,Real Estate Debt,Granite Business Center,TKR047,CUSIP00047,ISIN000047,2025-04-02,2025-04-04,18375.99,270.88,0.9632,4977688.17,195.93,4977813.83,18375.99,4977688.17,195.93,70.27,4977813.83,Alpha Real Estate Fund,State Street,Opportunistic,Opportunistic,Industrial,JPMorgan,Pro-Rata,True,2025
49,1,ALLOC00048,Sell,SECID0048,Property Direct,Skyline Tower,TKR048,CUSIP00048,ISIN000048,2023-08-14,2023-08-15,11891.36,316.89,0.9669,3768253.07,125.2,3768352.24,11891.36,3768253.07,125.2,26.03,3768352.24,Cedar Income Partners,Northern Trust,Opportunistic,Core Plus,Mixed Use,Goldman Sachs,Equal Weight,False,2023
50,1,ALLOC00049,Buy,SECID0049,Mortgage Bond,Skyline Tower,TKR049,CUSIP00049,ISIN000049,2025-02-03,2025-02-04,18342.62,194.92,1.078,3575343.49,346.68,3575532.55,18342.62,3575343.49,346.68,157.62,3575532.55,Cedar Income Partners,Northern Trust,Core,Core Plus,Residential,Goldman Sachs,Equal Weight,True,2025
51,1,ALLOC00050,Cover,SECID0000,Mortgage Bond,Lakeside Retail Center,TKR000,CUSIP00000,ISIN000000,2024-07-13,2024-07-14,12384.31,211.44,1.0729,2618538.51,393.74,2618805.57,12384.31,2618538.51,393.74,126.68,2618805.57,Delta Urban Holdings,Northern Trust,Core Plus,Value Add,Residential,Barclays,Equal Weight,False,2024
52,1,ALLOC00051,Sell,SECID0001,Property Direct,Cedar Heights Residences,TKR001,CUSIP00001,ISIN000001,2025-04-04,2025-04-05,344.54,359.52,1.0186,123869.02,420.39,124108.06,344.54,123869.02,420.39,181.35,124108.06,Delta Urban Holdings,BNY Mellon,Core,Opportunistic,Commercial,Morgan Stanley,Pro-Rata,True,2025
53,1,ALLOC00052,Sell,SECID0002,Real Estate Debt,Lakeside Retail Center,TKR002,CUSIP00002,ISIN000002,2023-05-19,2023-05-21,10311.2,329.34,0.9715,3395890.61,291.83,3396071.92,10311.2,3395890.61,291.83,110.52,3396071.92,Cedar Income Partners,Northern Trust,Value Add,Value Add,Industrial,Goldman Sachs,Equal Weight,True,2023
54,1,ALLOC00053,Buy,SECID0003,Property Direct,Union Square Offices,TKR003,CUSIP00003,ISIN000003,2023-04-17,2023-04-20,17188.17,216.81,0.9391,3726567.14,100.19,3726485.17,17188.17,3726567.14,100.19,182.16,3726485.17,Delta Urban Holdings,Northern Trust,Core,Value Add,Industrial,Citi,Custom,False,2023
55,1,ALLOC00054,Sell,SECID0004,Mortgage Bond,Union Square Offices,TKR004,CUSIP00004,ISIN000004,2024-03-04,2024-03-06,17534.5,456.17,0.9992,7998712.87,459.98,7999043.29,17534.5,7998712.87,459.98,129.56,7999043.29,Beacon Property Trust,BNY Mellon,Value Add,Core,Commercial,Barclays,Pro-Rata,True,2024
56,1,ALLOC00055,Short,SECID0005,REIT Equity,Skyline Tower,TKR005,CUSIP00005,ISIN000005,2024-01-03,2024-01-05,697.35,66.44,0.9581,46331.93,97.2,46309.92,697.35,46331.93,97.2,119.21,46309.92,Beacon Property Trust,State Street,Value Add,Opportunistic,Commercial,JPMorgan,Equal Weight,True,2024
57,1,ALLOC00056,Sell,SECID0006,Mortgage Bond,Harbor Plaza,TKR006,CUSIP00006,ISIN000006,2024-09-08,2024-09-09,4000.15,96.28,0.9524,385134.44,50.6,385017.91,4000.15,385134.44,50.6,167.13,385017.91,Cedar Income Partners,State Street,Value Add,Core,Commercial,JPMorgan,Custom,True,2024
58,1,ALLOC00057,Cover,SECID0007,Property Direct,Cedar Heights Residences,TKR007,CUSIP00007,ISIN000007,2025-10-14,2025-10-17,1401.01,80.77,1.0848,113159.58,397.45,113514.65,1401.01,113159.58,397.45,42.38,113514.65,Evergreen REIT Fund,BNY Mellon,Opportunistic,Core Plus,Commercial,Citi,Custom,True,2025
59,1,ALLOC00058,Sell,SECID0008,REIT Equity,Lakeside Retail Center,TKR008,CUSIP00008,ISIN000008,2024-04-02,2024-04-05,15932.68,437.7,1.0703,6973734.04,484.19,6974040.49,15932.68,6973734.04,484.19,177.74,6974040.49,Evergreen REIT Fund,State Street,Opportunistic,Core,Industrial,Barclays,Equal Weight,False,2024
60,1,ALLOC00059,Buy,SECID0009,Real Estate Debt,Union Square Offices,TKR009,CUSIP00009,ISIN000009,2023-06-23,2023-06-25,10556.97,246.82,1.0912,2605671.34,236.88,2605789.89,10556.97,2605671.34,236.88,118.33,2605789.89,Beacon Property Trust,BNY Mellon,Opportunistic,Core,Commercial,JPMorgan,Custom,False,2023
61,1,ALLOC00060,Sell,SECID0010,REIT Equity,Lakeside Retail Center,TKR010,CUSIP00010,ISIN000010,2025-03-27,2025-03-29,5165.13,51.53,1.0503,266159.15,147.52,266200.5,5165.13,266159.15,147.52,106.17,266200.5,Evergreen REIT Fund,Northern Trust,Value Add,Core,Mixed Use,Barclays,Custom,False,2025
62,1,ALLOC00061,Buy,SECID0011,Property Direct,Harbor Plaza,TKR011,CUSIP00011,ISIN000011,2024-08-11,2024-08-13,7709.18,97.99,0.9468,755422.55,322.68,755670.21,7709.18,755422.55,322.68,75.02,755670.21,Cedar Income Partners,State Street,Core Plus,Core Plus,Residential,JPMorgan,Pro-Rata,True,2024
63,1,ALLOC00062,Sell,SECID0012,Property Direct,Skyline Tower,TKR012,CUSIP00012,ISIN000012,2024-04-22,2024-04-24,5075.47,375.15,1.0537,1904062.57,422.72,1904443.11,5075.47,1904062.57,422.72,42.18,1904443.11,Cedar Income Partners,BNY Mellon,Value Add,Core,Mixed Use,Citi,Equal Weight,True,2024
64,1,ALLOC00063,Cover,SECID0013,Mortgage Bond,Cedar Heights Residences,TKR013,CUSIP00013,ISIN000013,2024-11-17,2024-11-18,17322.78,121.51,1.0447,2104891.0,104.94,2104945.36,17322.78,2104891.0,104.94,50.58,2104945.36,Alpha Real Estate Fund,BNY Mellon,Opportunistic,Core,Mixed Use,Morgan Stanley,Custom,False,2024
65,1,ALLOC00064,Short,SECID0014,Property Direct,Union Square Offices,TKR014,CUSIP00014,ISIN000014,2025-01-12,2025-01-13,11592.42,72.89,1.0887,844971.49,4.84,844813.3,11592.42,844971.49,4.84,163.03,844813.3,Delta Urban Holdings,BNY Mellon,Core,Value Add,Industrial,Citi,Pro-Rata,True,2025
66,1,ALLOC00065,Sell,SECID0015,Mortgage Bond,Harbor Plaza,TKR015,CUSIP00015,ISIN000015,2023-03-11,2023-03-14,12633.8,305.47,1.0216,3859246.89,433.47,3859484.23,12633.8,3859246.89,433.47,196.13,3859484.23,Evergreen REIT Fund,BNY Mellon,Opportunistic,Core,Residential,JPMorgan,Equal Weight,False,2023
67,1,ALLOC00066,Sell,SECID0016,Real Estate Debt,Harbor Plaza,TKR016,CUSIP00016,ISIN000016,2025-05-03,2025-05-04,2175.83,280.92,0.9064,611234.16,344.51,611478.39,2175.83,611234.16,344.51,100.28,611478.39,Delta Urban Holdings,BNY Mellon,Opportunistic,Opportunistic,Industrial,Citi,Pro-Rata,False,2025
68,1,ALLOC00067,Cover,SECID0017,Mortgage Bond,Harbor Plaza,TKR017,CUSIP00017,ISIN000017,2023-06-17,2023-06-18,3519.33,431.26,0.9822,1517746.26,78.52,1517798.18,3519.33,1517746.26,78.52,26.6,1517798.18,Delta Urban Holdings,State Street,Opportunistic,Opportunistic,Industrial,Barclays,Equal Weight,False,2023
69,1,ALLOC00068,Sell,SECID0018,Mortgage Bond,Harbor Plaza,TKR018,CUSIP00018,ISIN000018,2023-10-19,2023-10-21,11791.09,256.21,1.037,3020995.17,137.72,3021126.44,11791.09,3020995.17,137.72,6.45,3021126.44,Delta Urban Holdings,Northern Trust,Opportunistic,Value Add,Mixed Use,Barclays,Custom,True,2023
70,1,ALLOC00069,Sell,SECID0019,Mortgage Bond,Union Square Offices,TKR019,CUSIP00019,ISIN000019,2025-02-10,2025-02-13,17631.78,233.59,1.0401,4118607.49,355.82,4118900.31,17631.78,4118607.49,355.82,63.0,4118900.31,Beacon Property Trust,Northern Trust,Core,Core,Mixed Use,Morgan Stanley,Equal Weight,True,2025
71,1,ALLOC00070,Buy,SECID0020,Real Estate Debt,Lakeside Retail Center,TKR020,CUSIP00020,ISIN000020,2024-12-02,2024-12-03,17722.28,87.39,1.0765,1548750.05,268.87,1548883.92,17722.28,1548750.05,268.87,135.0,1548883.92,Delta Urban Holdings,Northern Trust,Core Plus,Value Add,Residential,Goldman Sachs,Equal Weight,False,2024
72,1,ALLOC00071,Cover,SECID0021,Mortgage Bond,Cedar Heights Residences,TKR021,CUSIP00021,ISIN000021,2024-08-06,2024-08-08,4226.7,31.87,0.9053,134704.93,319.43,134887.61,4226.7,134704.93,319.43,136.75,134887.61,Delta Urban Holdings,State Street,Core,Core Plus,Residential,JPMorgan,Pro-Rata,True,2024
73,1,ALLOC00072,Sell,SECID0022,Mortgage Bond,Riverside Logistics Park,TKR022,CUSIP00022,ISIN000022,2024-11-24,2024-11-26,9746.71,43.44,1.0097,423397.08,121.15,423327.98,9746.71,423397.08,121.15,190.25,423327.98,Beacon Property Trust,State Street,Core Plus,Core Plus,Commercial,JPMorgan,Pro-Rata,False,2024
74,1,ALLOC00073,Sell,SECID0023,Mortgage Bond,Skyline Tower,TKR023,CUSIP00023,ISIN000023,2023-02-22,2023-02-23,13579.92,85.21,0.9716,1157144.98,108.34,1157241.6,13579.92,1157144.98,108.34,11.72,1157241.6,Evergreen REIT Fund,Northern Trust,Core Plus,Core,Industrial,Barclays,Pro-Rata,True,2023
75,1,ALLOC00074,Buy,SECID0024,Property Direct,Union Square Offices,TKR024,CUSIP00024,ISIN000024,2023-07-25,2023-07-26,18583.53,193.58,0.9477,3597399.74,45.69,3597358.2,18583.53,3597399.74,45.69,87.23,3597358.2,Alpha Real Estate Fund,State Street,Core Plus,Opportunistic,Commercial,Goldman Sachs,Custom,True,2023
76,1,ALLOC00075,Sell,SECID0025,REIT Equity,Cedar Heights Residences,TKR025,CUSIP00025,ISIN000025,2024-06-18,2024-06-21,3872.0,111.49,1.0083,431689.28,469.46,432130.18,3872.0,431689.28,469.46,28.56,432130.18,Cedar Income Partners,State Street,Core Plus,Core,Industrial,Goldman Sachs,Custom,True,2024
