AsOfDate,OpenDate,CloseDate,ShortName,PortfolioName,StrategyRefShortName,Strategy1RefShortName,Strategy2RefShortName,CustodianName,DirectionName,SecurityId,SecurityTypeName,SecName,StartQty,Qty,StartPrice,Price,StartFXRate,FXRate,MV_Local,MV_Base,PL_DTD,PL_QTD,PL_MTD,PL_YTD,Year
2023-11-11,2022-01-12,,SEC023,Delta Urban Holdings,Value Add,Opportunistic,Commercial,BNY Mellon,Short,SECID0023,Real Estate Debt,Riverside Logistics Park,42552.75,44422.98,157.16,153.03,0.9817,0.9817,6798048.63,6673644.34,-3510.27,-6553.24,-3921.08,-117081.2,2023
2024-09-27,2024-08-28,,SEC024,Beacon Property Trust,Core,Opportunistic,Residential,BNY Mellon,Short,SECID0024,REIT Equity,Union Square Offices,11298.95,11944.7,307.26,300.78,0.9884,0.9884,3592726.87,3551051.24,1480.6,5221.11,51.13,-18766.97,2024
2025-05-08,2023-01-04,2025-05-30,SEC025,Evergreen REIT Fund,Opportunistic,Core,Mixed Use,BNY Mellon,Long,SECID0025,Real Estate Debt,Skyline Tower,3264.47,3580.43,309.52,358.24,0.9911,0.9911,1282653.24,1271237.63,-7076.85,-8412.91,-3427.15,-64182.18,2025
2023-07-08,2022-12-10,,SEC026,Beacon Property Trust,Core,Value Add,Mixed Use,Northern Trust,Short,SECID0026,Mortgage Bond,Maple Grove Apartments,35099.68,34850.82,283.13,344.57,0.9243,0.9243,12008547.05,11099500.04,-806.43,8081.02,18861.86,13966.23,2023
2025-08-15,2024-10-24,,SEC027,Delta Urban Holdings,Core Plus,Value Add,Commercial,BNY Mellon,Short,SECID0027,Property Direct,Harbor Plaza,42153.28,40275.87,391.06,408.2,0.9478,0.9478,16440610.13,15582410.28,1287.75,-1488.92,-19187.71,-2121.11,2025
2023-03-08,2022-01-10,,SEC028,Beacon Property Trust,Core,Core,Residential,Northern Trust,Short,SECID0028,Mortgage Bond,Skyline Tower,35614.54,32510.58,209.72,223.78,0.9832,0.9832,7275217.59,7152993.93,301.15,49264.84,-1923.61,24123.79,2023
2024-05-25,2023-03-23,,SEC029,Beacon Property Trust,Core,Opportunistic,Industrial,BNY Mellon,Short,SECID0029,REIT Equity,Granite Business Center,47718.09,46945.26,376.28,402.04,1.0207,1.0207,18873872.33,19264561.49,-173.56,-23373.56,11428.23,60154.64,2024
2024-11-22,2022-07-29,,SEC030,Delta Urban Holdings,Core Plus,Core Plus,Mixed Use,State Street,Short,SECID0030,Real Estate Debt,Skyline Tower,9087.19,9027.92,72.54,79.71,0.9054,0.9054,719615.5,651539.87,3955.16,-18187.75,14027.94,-112148.09,2024
2024-07-11,2023-11-08,,SEC031,Alpha Real Estate Fund,Core,Core Plus,Residential,BNY Mellon,Long,SECID0031,REIT Equity,Skyline Tower,17537.53,18869.12,146.35,180.08,0.9843,0.9843,3397951.13,3344603.3,2934.29,43809.11,-9905.36,-45303.82,2024
2023-04-07,2020-10-30,2023-07-04,SEC032,Cedar Income Partners,Value Add,Opportunistic,Residential,State Street,Short,SECID0032,REIT Equity,Skyline Tower,12688.7,12621.6,66.05,81.18,0.993,0.993,1024621.49,1017449.14,498.26,-10069.51,-15506.63,5485.04,2023
2024-10-22,2023-09-04,,SEC033,Cedar Income Partners,Core Plus,Core Plus,Industrial,Northern Trust,Short,SECID0033,Property Direct,Harbor Plaza,36035.72,32979.87,348.4,383.55,0.9204,0.9204,12649429.14,11642534.58,-5311.52,9471.85,-9194.24,123994.75,2024
2025-11-11,2025-09-30,,SEC034,Beacon Property Trust,Core,Opportunistic,Industrial,Northern Trust,Short,SECID0034,Mortgage Bond,Granite Business Center,41294.21,38036.42,480.79,530.9,1.0657,1.0657,20193535.38,21520250.65,-3916.27,-6441.23,8135.17,-98469.15,2025
2025-10-09,2024-10-14,,SEC035,Evergreen REIT Fund,Core,Value Add,Residential,BNY Mellon,Short,SECID0035,Real Estate Debt,Lakeside Retail Center,41705.82,38258.11,442.0,418.82,0.9929,0.9929,16023261.63,15909496.47,1137.3,26142.86,-16074.83,14770.71,2025
2023-06-26,2022-09-05,,SEC036,Alpha Real Estate Fund,Opportunistic,Core,Mixed Use,Northern Trust,Long,SECID0036,Mortgage Bond,Lakeside Retail Center,44135.68,45911.56,145.37,124.15,1.0896,1.0896,5699920.17,6210633.02,1299.41,15636.46,-12369.51,-105636.53,2023
2024-01-03,2023-02-06,,SEC037,Delta Urban Holdings,Value Add,Value Add,Mixed Use,BNY Mellon,Short,SECID0037,Property Direct,Union Square Offices,34897.57,33544.98,294.96,306.55,1.0062,1.0062,10283213.62,10346969.54,2609.71,5939.69,2504.93,27715.86,2024
2023-12-07,2022-12-19,2024-09-16,SEC038,Evergreen REIT Fund,Value Add,Core Plus,Commercial,BNY Mellon,Long,SECID0038,Property Direct,Maple Grove Apartments,47593.0,49403.09,103.86,118.97,0.9553,0.9553,5877485.62,5614762.01,-3400.12,4645.07,2930.72,-57148.11,2023
2024-01-23,2022-06-26,2024-02-25,SEC039,Delta Urban Holdings,Core Plus,Core Plus,Industrial,BNY Mellon,Short,SECID0039,Mortgage Bond,Cedar Heights Residences,48740.45,49260.6,351.73,316.74,1.0737,1.0737,15602802.44,16752728.98,9328.87,9476.66,-11913.03,52524.29,2024
2023-01-09,2021-08-08,2023-02-21,SEC040,Evergreen REIT Fund,Value Add,Core Plus,Commercial,State Street,Short,SECID0040,Real Estate Debt,Granite Business Center,20634.66,18876.93,318.43,277.49,0.9298,0.9298,5238159.31,4870440.53,-4873.41,15741.69,11585.96,-65654.59,2023
2024-08-10,2022-11-17,,SEC041,Beacon Property Trust,Opportunistic,Value Add,Residential,State Street,Long,SECID0041,Real Estate Debt,Harbor Plaza,15963.63,16350.04,308.72,353.8,1.0895,1.0895,5784644.15,6302369.8,4816.88,8255.62,8220.6,151743.44,2024
2023-01-14,2021-09-10,,SEC042,Alpha Real Estate Fund,Opportunistic,Value Add,Commercial,BNY Mellon,Long,SECID0042,Real Estate Debt,Maple Grove Apartments,24025.71,21779.98,151.17,145.59,1.0719,1.0719,3170947.29,3398938.4,-1226.94,-15074.72,-8895.14,-65264.82,2023
2024-03-03,2023-12-03,2024-08-17,SEC043,Cedar Income Partners,Core,Value Add,Mixed Use,BNY Mellon,Long,SECID0043,REIT Equity,Granite Business Center,30157.16,32112.79,461.38,473.22,0.9937,0.9937,15196414.48,15100677.07,-385.51,6823.04,2766.91,66174.66,2024
2025-06-20,2024-09-07,2025-10-25,SEC044,Cedar Income Partners,Core Plus,Opportunistic,Mixed Use,Northern Trust,Short,SECID0044,Property Direct,Maple Grove Apartments,48133.64,51367.82,291.85,359.07,1.0999,1.0999,18444643.13,20287262.98,65.01,29070.68,-2646.57,217613.53,2025
2025-07-21,2023-03-11,,SEC045,Cedar Income Partners,Core,Core,Industrial,Northern Trust,Short,SECID0045,REIT Equity,Lakeside Retail Center,5470.88,5304.52,173.32,193.78,1.0715,1.0715,1027909.89,1101405.45,3128.34,-17143.15,-10708.92,38597.79,2025
2023-06-09,2022-06-13,2024-01-11,SEC046,Alpha Real Estate Fund,Opportunistic,Value Add,Mixed Use,Northern Trust,Short,SECID0046,REIT Equity,Union Square Offices,43380.62,46199.73,10.56,12.65,0.9924,0.9924,584426.58,579984.94,-1117.31,14280.01,4732.38,-5826.31,2023
2024-09-05,2023-10-17,,SEC047,Beacon Property Trust,Value Add,Core Plus,Mixed Use,State Street,Long,SECID0047,REIT Equity,Lakeside Retail Center,35214.25,32548.01,486.84,532.38,0.9479,0.9479,17327909.56,16425125.47,-4233.97,-30296.94,-4465.15,68511.9,2024
2023-11-27,2023-05-24,,SEC048,Beacon Property Trust,Core,Opportunistic,Mixed Use,State Street,Long,SECID0048,REIT Equity,Riverside Logistics Park,36113.56,36177.64,143.98,170.46,1.096,1.096,6166840.51,6758857.2,1070.47,-24914.78,1731.81,30825.39,2023
2024-06-26,2022-12-25,,SEC049,Beacon Property Trust,Core,Core,Industrial,BNY Mellon,Short,SECID0049,Mortgage Bond,Cedar Heights Residences,1125.7,1176.59,420.36,454.82,1.032,1.032,535136.66,552261.03,-4419.29,3074.5,582.09,-91437.62,2024
2023-12-08,2022-04-02,,SEC000,Delta Urban Holdings,Core,Opportunistic,Mixed Use,State Street,Long,SECID0000,Property Direct,Harbor Plaza,42944.64,42178.29,165.91,172.41,1.0827,1.0827,7271958.98,7873349.99,1788.94,11215.69,10830.51,84304.16,2023
2024-02-17,2022-10-08,2024-05-10,SEC001,Cedar Income Partners,Core,Core Plus,Industrial,Northern Trust,Short,SECID0001,Property Direct,Lakeside Retail Center,21088.95,21741.79,85.64,88.88,1.0938,1.0938,1932410.3,2113670.39,-6888.35,-18756.5,5150.35,41102.88,2024
2025-01-20,2024-10-12,,SEC002,Alpha Real Estate Fund,Core,Opportunistic,Industrial,State Street,Long,SECID0002,Property Direct,Skyline Tower,34535.58,33066.98,121.47,107.64,1.0957,1.0957,3559329.73,3899957.59,2575.24,77054.63,5708.91,90845.25,2025
2024-06-12,2023-02-27,2025-03-20,SEC003,Delta Urban Holdings,Opportunistic,Core,Commercial,State Street,Short,SECID0003,Property Direct,Lakeside Retail Center,21190.54,21961.03,98.23,90.37,1.0219,1.0219,1984618.28,2028081.42,4770.01,13027.83,-3152.69,60717.54,2024
2024-11-01,2022-07-02,,SEC004,Cedar Income Partners,Core,Value Add,Mixed Use,BNY Mellon,Long,SECID0004,Mortgage Bond,Lakeside Retail Center,15093.95,15234.62,46.19,56.73,1.0975,1.0975,864259.99,948525.34,-3864.13,-4736.37,-4853.64,6549.93,2024
2023-04-13,2021-08-06,,SEC005,Alpha Real Estate Fund,Core Plus,Core,Industrial,State Street,Short,SECID0005,Real Estate Debt,Union Square Offices,15497.75,16115.43,20.75,24.53,0.9792,0.9792,395311.5,387089.02,11573.29,-37345.3,6862.6,-129017.27,2023
2025-05-22,2023-03-11,,SEC006,Cedar Income Partners,Core,Core Plus,Industrial,Northern Trust,Long,SECID0006,REIT Equity,Riverside Logistics Park,33299.9,35553.22,317.84,385.02,1.0293,1.0293,13688700.76,14089779.69,-2359.66,21779.01,642.8,-86219.58,2025
2024-12-14,2024-05-19,,SEC007,Beacon Property Trust,Value Add,Core,Industrial,Northern Trust,Short,SECID0007,REIT Equity,Lakeside Retail Center,39539.13,42516.11,189.27,198.87,0.9545,0.9545,8455178.8,8070468.16,-3576.52,13591.95,-7303.67,17316.69,2024
2023-03-25,2022-07-07,,SEC008,Delta Urban Holdings,Core Plus,Value Add,Residential,BNY Mellon,Short,SECID0008,Property Direct,Granite Business Center,36486.62,39988.91,483.96,567.12,0.9732,0.9732,22678510.64,22070726.55,227.86,-13032.01,21439.44,50713.52,2023
2025-06-04,2023-06-14,,SEC009,Alpha Real Estate Fund,Core,Value Add,Mixed Use,State Street,Long,SECID0009,REIT Equity,Skyline Tower,2226.21,2397.29,285.09,346.7,0.9443,0.9443,831140.44,784845.92,-10125.71,3729.09,-6617.86,68194.67,2025
2024-08-04,2024-03-28,,SEC010,Evergreen REIT Fund,Core,Opportunistic,Mixed Use,Northern Trust,Long,SECID0010,Mortgage Bond,Granite Business Center,27339.78,26730.9,191.8,235.87,1.0393,1.0393,6305017.38,6552804.56,-3962.6,-2294.73,5049.87,69260.42,2024
2024-01-23,2022-12-10,,SEC011,Cedar Income Partners,Core Plus,Core,Industrial,State Street,Long,SECID0011,Mortgage Bond,Harbor Plaza,22790.1,21587.3,187.72,233.22,0.9735,0.9735,5034590.11,4901173.47,-6001.48,-6690.02,-4749.45,-52266.34,2024
2025-04-21,2023-06-07,,SEC012,Alpha Real Estate Fund,Opportunistic,Opportunistic,Commercial,BNY Mellon,Long,SECID0012,REIT Equity,Riverside Logistics Park,2046.52,2163.91,129.35,116.46,1.0129,1.0129,252008.96,255259.88,8827.27,8099.63,-12608.84,73428.96,2025
2023-03-18,2022-06-05,,SEC013,Evergreen REIT Fund,Value Add,Core Plus,Commercial,BNY Mellon,Long,SECID0013,Real Estate Debt,Granite Business Center,6386.39,6854.45,74.58,74.08,1.0577,1.0577,507777.66,537076.43,10610.78,20649.31,-15193.7,-38738.73,2023
2025-02-24,2024-11-21,,SEC014,Alpha Real Estate Fund,Value Add,Core,Residential,State Street,Short,SECID0014,Mortgage Bond,Granite Business Center,39122.83,39226.41,63.44,66.71,1.0891,1.0891,2616793.81,2849950.14,6334.56,-14153.39,4438.19,61970.72,2025
2025-02-16,2023-01-19,,SEC015,Evergreen REIT Fund,Value Add,Core,Industrial,BNY Mellon,Short,SECID0015,REIT Equity,Harbor Plaza,4601.05,4215.29,308.07,269.95,0.955,0.955,1137917.54,1086711.25,-4634.65,-1190.51,-32412.67,-81951.01,2025
2025-11-25,2024-04-10,,SEC016,Delta Urban Holdings,Core Plus,Value Add,Mixed Use,BNY Mellon,Short,SECID0016,Property Direct,Maple Grove Apartments,11536.13,11424.36,121.96,120.2,0.9907,0.9907,1373208.07,1360437.23,-1262.84,-24955.66,16324.11,-114411.31,2025
2025-08-03,2025-04-02,,SEC017,Evergreen REIT Fund,Value Add,Core Plus,Mixed Use,BNY Mellon,Short,SECID0017,REIT Equity,Riverside Logistics Park,5568.27,5118.98,372.01,437.0,1.0113,1.0113,2236994.26,2262272.3,-2200.22,2614.81,14412.73,-114868.97,2025
2025-05-12,2024-12-27,,SEC018,Cedar Income Partners,Core Plus,Value Add,Commercial,BNY Mellon,Long,SECID0018,Property Direct,Skyline Tower,11424.2,11782.32,119.88,107.09,1.0691,1.0691,1261768.65,1348956.86,5815.82,204.66,-9815.09,36968.28,2025
2023-05-23,2021-03-04,,SEC019,Beacon Property Trust,Core Plus,Core Plus,Commercial,BNY Mellon,Short,SECID0019,Mortgage Bond,Cedar Heights Residences,17651.41,15907.82,436.23,469.61,0.9802,0.9802,7470471.35,7322556.02,995.3,-12004.34,698.02,-30825.09,2023
2023-06-10,2021-05-03,,SEC020,Alpha Real Estate Fund,Core Plus,Value Add,Mixed Use,Northern Trust,Short,SECID0020,Mortgage Bond,Lakeside Retail Center,47128.96,48035.95,442.84,403.97,1.0509,1.0509,19405082.72,20392801.43,567.59,13242.61,15860.17,-99025.24,2023
2024-05-07,2022-02-24,,SEC021,Cedar Income Partners,Core Plus,Opportunistic,Mixed Use,Northern Trust,Long,SECID0021,REIT Equity,Union Square Offices,17913.47,16519.41,342.33,372.2,1.0054,1.0054,6148524.4,6181726.43,10665.17,-39041.76,-1517.85,47065.38,2024
2024-04-25,2023-11-07,,SEC022,Evergreen REIT Fund,Opportunistic,Value Add,Residential,BNY Mellon,Long,SECID0022,Mortgage Bond,Skyline Tower,15182.91,14028.96,253.72,259.37,0.9258,0.9258,3638691.36,3368700.46,1404.96,-12453.99,-2081.22,-39440.07,2024
2024-02-28,2023-03-15,,SEC023,Cedar Income Partners,Opportunistic,Core,Industrial,State Street,Short,SECID0023,REIT Equity,Union Square Offices,29096.58,30315.72,214.67,192.36,0.9042,0.9042,5831531.9,5272871.14,-2946.82,16992.04,3570.15,-55432.77,2024
2024-10-13,2023-03-27,2025-03-30,SEC024,Evergreen REIT Fund,Opportunistic,Value Add,Industrial,Northern Trust,Long,SECID0024,Real Estate Debt,Harbor Plaza,37544.44,35453.76,391.77,344.97,1.0266,1.0266,12230483.59,12555814.45,4498.0,6145.99,8128.62,50370.31,2024
2023-05-07,2022-10-12,,SEC025,Evergreen REIT Fund,Core,Value Add,Industrial,State Street,Short,SECID0025,REIT Equity,Lakeside Retail Center,38250.55,39440.21,96.8,112.2,0.9988,0.9988,4425191.56,4419881.33,-4144.98,-11203.62,7472.94,48829.62,2023
2024-11-10,2022-07-19,,SEC026,Cedar Income Partners,Core Plus,Core Plus,Mixed Use,BNY Mellon,Long,SECID0026,Mortgage Bond,Union Square Offices,3752.43,3757.94,162.1,167.09,0.9114,0.9114,627914.19,572280.99,-104.51,2346.55,12776.65,-47325.71,2024
2024-10-16,2023-04-22,2024-11-26,SEC027,Beacon Property Trust,Core Plus,Opportunistic,Mixed Use,BNY Mellon,Long,SECID0027,Property Direct,Cedar Heights Residences,23075.63,24510.78,420.31,522.43,0.9169,0.9169,12805166.8,11741057.44,2735.49,-4043.85,-2176.81,87902.15,2024
2024-07-14,2022-04-13,,SEC028,Delta Urban Holdings,Value Add,Value Add,Commercial,BNY Mellon,Long,SECID0028,Real Estate Debt,Cedar Heights Residences,30296.41,32048.92,327.18,286.73,0.9189,0.9189,9189386.83,8444127.56,4127.08,16270.19,13054.79,1680.31,2024
2024-11-23,2022-12-16,,SEC029,Beacon Property Trust,Core Plus,Core,Industrial,State Street,Short,SECID0029,Property Direct,Maple Grove Apartments,30157.02,32798.79,161.7,161.81,1.0583,1.0583,5307172.21,5616580.35,3409.76,-6205.34,3241.66,-10411.44,2024
2023-06-25,2022-01-14,2023-09-13,SEC030,Evergreen REIT Fund,Core Plus,Value Add,Commercial,Northern Trust,Short,SECID0030,Real Estate Debt,Maple Grove Apartments,8592.31,8241.39,396.18,417.21,1.008,1.008,3438390.32,3465897.44,484.98,11903.14,-8182.21,167390.98,2023
2023-12-25,2022-02-24,,SEC031,Delta Urban Holdings,Value Add,Core,Commercial,Northern Trust,Long,SECID0031,Property Direct,Lakeside Retail Center,9111.42,8997.84,211.32,236.79,0.9475,0.9475,2130598.53,2018742.11,-5030.09,-24283.77,11581.11,63333.02,2023
2023-06-22,2021-10-16,,SEC032,Beacon Property Trust,Opportunistic,Value Add,Residential,Northern Trust,Short,SECID0032,Property Direct,Harbor Plaza,23622.32,22591.31,197.12,209.14,1.0933,1.0933,4724746.57,5165565.42,3120.6,12566.91,-122.47,-71780.35,2023
2025-09-28,2025-04-24,,SEC033,Beacon Property Trust,Core,Value Add,Residential,BNY Mellon,Long,SECID0033,Mortgage Bond,Cedar Heights Residences,38392.72,36648.09,453.6,412.29,0.9875,0.9875,15109641.03,14920770.52,379.02,-13543.23,9751.2,-11764.59,2025
2023-07-03,2022-05-16,,SEC034,Alpha Real Estate Fund,Value Add,Core,Commercial,Northern Trust,Short,SECID0034,Mortgage Bond,Skyline Tower,16615.56,15283.27,360.21,354.49,0.9292,0.9292,5417766.38,5034188.52,-4127.49,-6427.72,4129.31,-45097.96,2023
2023-01-09,2022-05-04,,SEC035,Cedar Income Partners,Core Plus,Core Plus,Commercial,BNY Mellon,Short,SECID0035,REIT Equity,Harbor Plaza,27891.41,29158.99,268.61,240.26,0.9576,0.9576,7005738.94,6708695.61,-4111.1,4873.74,2449.67,-40555.45,2023
2024-10-18,2024-09-02,,SEC036,Evergreen REIT Fund,Core,Opportunistic,Residential,Northern Trust,Short,SECID0036,REIT Equity,Skyline Tower,29177.33,30452.64,152.72,129.91,0.9706,0.9706,3956102.46,3839793.05,-2355.19,4641.0,-14480.84,-112597.1,2024
2024-08-02,2022-09-22,,SEC037,Alpha Real Estate Fund,Value Add,Opportunistic,Residential,BNY Mellon,Short,SECID0037,Real Estate Debt,Lakeside Retail Center,19291.82,20246.06,184.98,162.23,0.9482,0.9482,3284518.31,3114380.26,-3592.22,-4268.94,3109.08,118028.5,2024
2025-08-21,2025-01-17,,SEC038,Beacon Property Trust,Core Plus,Value Add,Industrial,Northern Trust,Short,SECID0038,Mortgage Bond,Riverside Logistics Park,4091.93,4317.96,234.26,226.62,0.9088,0.9088,978536.1,889293.61,4288.3,-3198.77,-190.16,-80202.35,2025
2023-11-07,2022-12-20,,SEC039,Delta Urban Holdings,Core,Core,Industrial,State Street,Short,SECID0039,Mortgage Bond,Cedar Heights Residences,39261.24,42133.58,172.64,155.34,0.9736,0.9736,6545030.32,6372241.52,-92.57,-5773.17,3227.19,-66178.48,2023
2025-05-26,2025-02-01,,SEC040,Alpha Real Estate Fund,Value Add,Value Add,Industrial,BNY Mellon,Short,SECID0040,Real Estate Debt,Lakeside Retail Center,4867.42,4967.16,412.95,441.11,0.9642,0.9642,2191063.95,2112623.86,2596.73,30654.78,-1087.6,32136.94,2025
2024-08-02,2022-06-20,,SEC041,Alpha Real Estate Fund,Core,Value Add,Commercial,State Street,Long,SECID0041,Mortgage Bond,Skyline Tower,18275.41,20096.19,144.53,179.51,1.0896,1.0896,3607467.07,3930696.12,3450.72,-8024.41,2240.92,1007.39,2024
2023-02-08,2020-11-03,,SEC042,Cedar Income Partners,Value Add,Core,Residential,Northern Trust,Long,SECID0042,Property Direct,Granite Business Center,18745.38,20430.47,25.87,23.58,0.99,0.99,481750.48,476932.98,488.38,-15460.2,245.1,39839.86,2023
2024-11-09,2024-01-29,,SEC043,Cedar Income Partners,Core,Opportunistic,Industrial,Northern Trust,Short,SECID0043,Real Estate Debt,Harbor Plaza,2269.75,2127.23,263.7,320.51,0.9236,0.9236,681798.49,629709.09,7255.72,19185.42,21531.82,-61387.81,2024
